Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:05:35.091 GMT+0300	1.6154	1.61495	1	1
01.01.2010 00:05:35.331 GMT+0300	1.6154	1.61495	1	3.3
01.01.2010 00:05:50.518 GMT+0300	1.6154	1.61495	1	3.2
01.01.2010 00:05:50.748 GMT+0300	1.6155	1.61495	1	3.3
01.01.2010 00:05:51.018 GMT+0300	1.61555	1.61495	1.7	3.3
01.01.2010 00:05:52.297 GMT+0300	1.6155	1.61495	1	3.3
01.01.2010 00:05:53.297 GMT+0300	1.6155	1.615	1	1
01.01.2010 00:05:54.057 GMT+0300	1.6153	1.615	1	1
01.01.2010 00:05:54.397 GMT+0300	1.6153	1.61495	1	2.5
01.01.2010 00:05:57.726 GMT+0300	1.61525	1.61495	1	1
01.01.2010 00:06:00.395 GMT+0300	1.61525	1.61495	1	1
01.01.2010 00:06:00.785 GMT+0300	1.61525	1.61475	1.4	1
01.01.2010 00:06:01.465 GMT+0300	1.61525	1.61475	1	1
01.01.2010 00:06:01.735 GMT+0300	1.61525	1.61475	1.4	1
01.01.2010 00:06:04.325 GMT+0300	1.61525	1.6148	1.4	1
01.01.2010 00:06:04.675 GMT+0300	1.6152	1.6148	1.6	1
01.01.2010 00:06:05.025 GMT+0300	1.61515	1.6148	1.4	1
01.01.2010 00:06:08.993 GMT+0300	1.61515	1.6148	1.4	1
01.01.2010 00:06:10.543 GMT+0300	1.61515	1.61485	1.4	1
01.01.2010 00:06:10.833 GMT+0300	1.61515	1.61475	1.4	1
01.01.2010 00:06:11.923 GMT+0300	1.61515	1.6148	1.4	1
01.01.2010 00:06:13.422 GMT+0300	1.61515	1.61485	1.4	1
01.01.2010 00:06:22.070 GMT+0300	1.61515	1.61485	1	1
01.01.2010 00:06:22.410 GMT+0300	1.61515	1.61485	1.4	1
01.01.2010 00:06:29.238 GMT+0300	1.61495	1.61485	1	1
01.01.2010 00:06:29.578 GMT+0300	1.61495	1.6148	1	1
01.01.2010 00:06:34.897 GMT+0300	1.615	1.6148	1.1	1
01.01.2010 00:06:35.317 GMT+0300	1.615	1.6148	1	1
01.01.2010 00:06:36.367 GMT+0300	1.615	1.61485	1	1
01.01.2010 00:06:42.945 GMT+0300	1.61495	1.61485	1	1
01.01.2010 00:06:43.695 GMT+0300	1.615	1.61485	1	1
01.01.2010 00:06:43.985 GMT+0300	1.61505	1.61485	1	1
01.01.2010 00:06:44.285 GMT+0300	1.61515	1.61485	1	1
01.01.2010 00:06:45.095 GMT+0300	1.61515	1.61485	1	1
01.01.2010 00:06:45.335 GMT+0300	1.61515	1.6149	1	1
01.01.2010 00:06:52.813 GMT+0300	1.61515	1.6149	1.6	1
01.01.2010 00:06:53.523 GMT+0300	1.61515	1.6149	1	1
01.01.2010 00:06:53.813 GMT+0300	1.6151	1.6149	1	1
01.01.2010 00:07:36.812 GMT+0300	1.6151	1.6149	1	1
01.01.2010 00:07:36.922 GMT+0300	1.6151	1.6149	1	1
01.01.2010 00:07:41.041 GMT+0300	1.61515	1.6149	2.5	1
01.01.2010 00:07:41.161 GMT+0300	1.61515	1.6149	2	1
01.01.2010 00:07:41.281 GMT+0300	1.6151	1.6149	1	1
01.01.2010 00:07:41.951 GMT+0300	1.61515	1.6149	1	1
01.01.2010 00:07:42.131 GMT+0300	1.61515	1.6149	1	1
01.01.2010 00:07:45.340 GMT+0300	1.6151	1.6149	1	1
01.01.2010 00:07:45.520 GMT+0300	1.6151	1.6149	1	1
01.01.2010 00:07:45.860 GMT+0300	1.61515	1.6149	1	1
01.01.2010 00:08:02.756 GMT+0300	1.6152	1.6149	1	1
01.01.2010 00:08:11.264 GMT+0300	1.61515	1.6149	1	1
01.01.2010 00:08:18.163 GMT+0300	1.6152	1.6149	1	1
01.01.2010 00:08:20.182 GMT+0300	1.61515	1.6149	1	1
01.01.2010 00:08:37.877 GMT+0300	1.6152	1.6149	1	1
01.01.2010 00:08:40.197 GMT+0300	1.6152	1.6149	1	1
01.01.2010 00:08:40.437 GMT+0300	1.6152	1.6149	1	1
01.01.2010 00:08:41.407 GMT+0300	1.61515	1.6149	1	1
01.01.2010 00:08:57.893 GMT+0300	1.6152	1.6149	1	1
