Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:03:44.818 GMT+0300	0.8867	0.88615	1.6	4
01.01.2010 00:03:45.358 GMT+0300	0.88675	0.8862	1.6	2
01.01.2010 00:03:50.017 GMT+0300	0.88675	0.8862	1.6	4
01.01.2010 00:03:50.317 GMT+0300	0.8866	0.88615	2	6
01.01.2010 00:03:50.496 GMT+0300	0.8865	0.8861	5.2	2
01.01.2010 00:03:50.667 GMT+0300	0.8865	0.88605	5.2	3.6
01.01.2010 00:03:50.846 GMT+0300	0.8865	0.88605	5.2	2
01.01.2010 00:03:55.356 GMT+0300	0.8865	0.8861	5.2	2
01.01.2010 00:03:55.526 GMT+0300	0.8866	0.88615	1.6	6
01.01.2010 00:03:55.825 GMT+0300	0.8867	0.88615	6.8	4.8
01.01.2010 00:03:56.505 GMT+0300	0.8867	0.8862	6.8	2
01.01.2010 00:03:56.745 GMT+0300	0.8867	0.8862	5.2	2
01.01.2010 00:03:57.245 GMT+0300	0.88675	0.8862	5.2	2
01.01.2010 00:03:57.415 GMT+0300	0.88675	0.8862	6.8	2
01.01.2010 00:03:57.765 GMT+0300	0.88675	0.8862	5.2	2
01.01.2010 00:03:58.335 GMT+0300	0.88675	0.8862	6.8	2
01.01.2010 00:03:59.554 GMT+0300	0.88675	0.8862	6.8	4.8
01.01.2010 00:03:59.904 GMT+0300	0.8868	0.8862	6.8	10
01.01.2010 00:04:00.594 GMT+0300	0.88675	0.8862	1.6	10
01.01.2010 00:04:08.763 GMT+0300	0.8868	0.88625	1.6	9.2
01.01.2010 00:04:08.992 GMT+0300	0.8868	0.8862	1	14
01.01.2010 00:04:09.162 GMT+0300	0.88685	0.88625	7.6	9.2
01.01.2010 00:04:10.142 GMT+0300	0.88685	0.88625	7.6	10
01.01.2010 00:04:12.321 GMT+0300	0.88675	0.88625	5.2	4
01.01.2010 00:04:12.491 GMT+0300	0.88675	0.8862	5.2	4.8
01.01.2010 00:04:12.711 GMT+0300	0.8868	0.8862	6.8	10
01.01.2010 00:04:12.881 GMT+0300	0.8868	0.8862	7.6	10
01.01.2010 00:04:13.621 GMT+0300	0.8868	0.8862	6	10
01.01.2010 00:04:13.911 GMT+0300	0.8868	0.8862	7.6	10
01.01.2010 00:04:14.271 GMT+0300	0.8868	0.8862	9.6	8
01.01.2010 00:04:14.571 GMT+0300	0.88675	0.8862	5.2	1
01.01.2010 00:04:14.861 GMT+0300	0.88675	0.8862	6	1
01.01.2010 00:04:15.161 GMT+0300	0.88675	0.88615	6	10
01.01.2010 00:04:15.461 GMT+0300	0.8867	0.88615	1	10
01.01.2010 00:04:16.190 GMT+0300	0.88675	0.88615	7.6	10
01.01.2010 00:04:16.900 GMT+0300	0.88675	0.88615	6	10
01.01.2010 00:04:17.470 GMT+0300	0.88675	0.88615	6	11.6
01.01.2010 00:04:19.150 GMT+0300	0.88675	0.8862	1	10
01.01.2010 00:04:19.490 GMT+0300	0.8868	0.8862	6	11.6
01.01.2010 00:04:20.879 GMT+0300	0.88675	0.8862	1	6
01.01.2010 00:04:24.978 GMT+0300	0.8868	0.8862	6	10
01.01.2010 00:04:25.258 GMT+0300	0.88685	0.8862	10	11.6
01.01.2010 00:04:25.488 GMT+0300	0.88675	0.88625	5.2	1
01.01.2010 00:04:25.778 GMT+0300	0.8868	0.88625	1	6
01.01.2010 00:04:26.708 GMT+0300	0.88685	0.88625	10	6
01.01.2010 00:04:27.118 GMT+0300	0.88675	0.8862	5.2	1.6
01.01.2010 00:04:27.358 GMT+0300	0.8868	0.8862	10	7.6
01.01.2010 00:04:31.047 GMT+0300	0.88675	0.8862	1	7.6
01.01.2010 00:04:31.277 GMT+0300	0.88675	0.8862	1	6
01.01.2010 00:04:31.737 GMT+0300	0.8867	0.88615	4	6
01.01.2010 00:04:32.027 GMT+0300	0.88665	0.8861	6	1.6
01.01.2010 00:04:32.556 GMT+0300	0.88665	0.88605	6	11.6
01.01.2010 00:04:33.206 GMT+0300	0.88665	0.88605	6	10
01.01.2010 00:04:33.856 GMT+0300	0.88665	0.88605	6	11.6
01.01.2010 00:04:35.736 GMT+0300	0.8866	0.88605	1	10.8
01.01.2010 00:04:35.906 GMT+0300	0.8866	0.88605	4.8	6.8
01.01.2010 00:04:36.086 GMT+0300	0.8866	0.88605	4.8	5.2
01.01.2010 00:04:41.194 GMT+0300	0.88655	0.88605	1	5.2
01.01.2010 00:04:46.173 GMT+0300	0.88655	0.88605	1	6
01.01.2010 00:04:46.463 GMT+0300	0.8866	0.88605	4.8	6
01.01.2010 00:04:52.412 GMT+0300	0.88645	0.88615	4	4
01.01.2010 00:04:57.631 GMT+0300	0.88645	0.8861	1	1
01.01.2010 00:04:57.990 GMT+0300	0.8866	0.88605	4.8	6
01.01.2010 00:04:58.790 GMT+0300	0.88655	0.88605	1	6
01.01.2010 00:05:00.690 GMT+0300	0.8866	0.88605	10	1
01.01.2010 00:05:01.100 GMT+0300	0.8866	0.88605	10	1.6
01.01.2010 00:05:02.969 GMT+0300	0.8866	0.8861	10	1
01.01.2010 00:05:03.199 GMT+0300	0.8866	0.88615	10	1
01.01.2010 00:05:06.078 GMT+0300	0.88645	0.8862	1	4
01.01.2010 00:05:11.927 GMT+0300	0.8865	0.88615	1	1.2
01.01.2010 00:05:12.307 GMT+0300	0.88675	0.88615	6	1
01.01.2010 00:05:12.487 GMT+0300	0.8867	0.88615	5.2	1.6
01.01.2010 00:05:12.837 GMT+0300	0.8867	0.88615	5.2	3.6
01.01.2010 00:05:14.087 GMT+0300	0.88665	0.88615	5.2	1
01.01.2010 00:05:14.426 GMT+0300	0.8865	0.8862	1	4
01.01.2010 00:05:20.225 GMT+0300	0.88645	0.88625	1	1
01.01.2010 00:05:21.265 GMT+0300	0.8867	0.8861	4	6
01.01.2010 00:05:21.835 GMT+0300	0.8867	0.8861	9.2	1
01.01.2010 00:05:22.134 GMT+0300	0.8867	0.88605	10	6
01.01.2010 00:05:22.424 GMT+0300	0.88665	0.88605	9.2	6
01.01.2010 00:05:23.944 GMT+0300	0.8865	0.8862	1	4
01.01.2010 00:05:24.634 GMT+0300	0.88665	0.8862	1.6	1
01.01.2010 00:05:24.914 GMT+0300	0.8868	0.8862	3.6	1
01.01.2010 00:05:25.204 GMT+0300	0.8868	0.8863	4	1.6
01.01.2010 00:05:26.254 GMT+0300	0.88665	0.8864	1	1
01.01.2010 00:05:28.443 GMT+0300	0.88645	0.88625	1	1
01.01.2010 00:05:28.613 GMT+0300	0.88645	0.8862	1	6
01.01.2010 00:05:30.752 GMT+0300	0.88645	0.8862	1	6
01.01.2010 00:05:31.862 GMT+0300	0.88645	0.8862	1	6
01.01.2010 00:05:32.142 GMT+0300	0.8864	0.8862	1.2	2
01.01.2010 00:05:32.952 GMT+0300	0.8864	0.8862	1	2
01.01.2010 00:05:50.288 GMT+0300	0.8864	0.88615	1	6
01.01.2010 00:05:50.578 GMT+0300	0.88635	0.8862	1	1.6
01.01.2010 00:05:50.848 GMT+0300	0.88635	0.88615	1	1
01.01.2010 00:05:54.397 GMT+0300	0.8864	0.88615	1	4
01.01.2010 00:06:00.665 GMT+0300	0.8864	0.88615	1	5.6
01.01.2010 00:06:01.905 GMT+0300	0.8864	0.88615	1	4
01.01.2010 00:06:02.715 GMT+0300	0.8864	0.88615	1	5.6
01.01.2010 00:06:04.675 GMT+0300	0.8864	0.8862	1	2.4
01.01.2010 00:06:05.025 GMT+0300	0.88645	0.88625	1	1
01.01.2010 00:06:08.773 GMT+0300	0.88645	0.88625	1	1
01.01.2010 00:06:10.833 GMT+0300	0.8864	0.88615	4	6
01.01.2010 00:06:11.103 GMT+0300	0.8864	0.8862	1	2.4
01.01.2010 00:06:11.923 GMT+0300	0.88645	0.8862	1	6
01.01.2010 00:06:12.263 GMT+0300	0.88645	0.88625	1	1
01.01.2010 00:06:20.721 GMT+0300	0.8865	0.88625	4	1
01.01.2010 00:06:22.070 GMT+0300	0.88645	0.88625	1	1
01.01.2010 00:06:22.300 GMT+0300	0.8865	0.88625	4	1
