Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:03:29.679 GMT+0300	1.43127	1.43117	2.7	2.3
01.01.2010 00:03:32.550 GMT+0300	1.43134	1.43124	1.5	1.5
01.01.2010 00:03:34.560 GMT+0300	1.43139	1.43129	1.5	2.1
01.01.2010 00:03:36.958 GMT+0300	1.43143	1.43132	2.3	1.7
01.01.2010 00:03:40.831 GMT+0300	1.43148	1.43136	3.4	1.5
01.01.2010 00:03:42.409 GMT+0300	1.43152	1.43141	1.5	1.7
01.01.2010 00:03:48.807 GMT+0300	1.43153	1.43142	4	2.3
01.01.2010 00:03:52.808 GMT+0300	1.43155	1.43143	1.5	2.1
01.01.2010 00:04:03.090 GMT+0300	1.43153	1.43141	14.1	2.5
01.01.2010 00:04:31.350 GMT+0300	1.43173	1.43158	2.9	3
01.01.2010 00:04:36.470 GMT+0300	1.43172	1.4316	1.7	1.9
01.01.2010 00:04:39.418 GMT+0300	1.43147	1.43133	1.7	1.5
01.01.2010 00:04:47.089 GMT+0300	1.43128	1.43114	3.8	6.6
01.01.2010 00:04:50.105 GMT+0300	1.43128	1.43112	4.9	4.2
01.01.2010 00:04:50.218 GMT+0300	1.43127	1.43119	1.5	2.3
01.01.2010 00:04:50.548 GMT+0300	1.43131	1.43119	4.5	1.5
01.01.2010 00:04:52.969 GMT+0300	1.4313	1.4312	1.8	2.3
01.01.2010 00:04:55.017 GMT+0300	1.4313	1.43116	1.5	1.7
01.01.2010 00:04:55.355 GMT+0300	1.43127	1.43117	1.5	2.5
01.01.2010 00:05:03.120 GMT+0300	1.43128	1.43112	1.5	1.7
01.01.2010 00:05:06.787 GMT+0300	1.43126	1.43111	1.2	1.5
01.01.2010 00:05:07.048 GMT+0300	1.4312	1.43113	2.1	2.3
01.01.2010 00:05:08.647 GMT+0300	1.43116	1.43106	3.4	1.5
01.01.2010 00:05:10.649 GMT+0300	1.43114	1.43099	2.5	1.2
01.01.2010 00:05:12.631 GMT+0300	1.43108	1.43092	1.7	2.3
01.01.2010 00:05:16.823 GMT+0300	1.43108	1.43092	1.5	3.4
01.01.2010 00:05:22.919 GMT+0300	1.43114	1.43104	1.5	1.8
01.01.2010 00:05:25.909 GMT+0300	1.43126	1.43116	1.5	2.3
01.01.2010 00:05:27.551 GMT+0300	1.43141	1.43128	2.3	1.5
01.01.2010 00:05:29.684 GMT+0300	1.43154	1.43143	1.5	1.7
01.01.2010 00:05:29.938 GMT+0300	1.43168	1.43155	1.5	5.9
01.01.2010 00:05:31.508 GMT+0300	1.43179	1.43167	5.1	6.6
01.01.2010 00:05:33.733 GMT+0300	1.43183	1.43171	1.7	1.5
01.01.2010 00:05:38.380 GMT+0300	1.43178	1.43164	2.5	3
01.01.2010 00:05:44.134 GMT+0300	1.4317	1.43156	1.5	1.9
01.01.2010 00:05:44.825 GMT+0300	1.43161	1.43151	1.5	1.5
01.01.2010 00:05:48.019 GMT+0300	1.43158	1.43144	8.7	1.4
01.01.2010 00:05:51.892 GMT+0300	1.43153	1.43142	1.5	1.7
01.01.2010 00:05:53.788 GMT+0300	1.43152	1.43137	1.5	3.2
01.01.2010 00:05:55.828 GMT+0300	1.43151	1.43136	3	1.7
01.01.2010 00:05:57.944 GMT+0300	1.43149	1.43135	1.5	5.5
01.01.2010 00:06:05.087 GMT+0300	1.43142	1.43128	7.6	1.5
01.01.2010 00:06:09.598 GMT+0300	1.43148	1.43136	2.5	3
01.01.2010 00:06:11.781 GMT+0300	1.43156	1.43143	1.5	1.3
01.01.2010 00:06:15.497 GMT+0300	1.43162	1.43152	3.2	1.9
